FD,time,apache 
3071,1412,30
3072,1413,30
3070,1414,30
3073,1415,30
3073,1416,30
3073,1417,30
3073,1418,30
3073,1419,30
3073,1420,30
3073,1421,30
3073,1422,30
3073,1423,30
3072,1424,30
3072,1425,30
3071,1426,30
3071,1427,30
3071,1428,30
3104,1429,30
3101,1430,30
3103,1431,30
3071,1432,30
3073,1433,30
3104,1434,30
3103,1435,30
3102,1436,30
3101,1437,30
3103,1438,30
3103,1439,30
3103,1440,30
3103,1441,30
3081,1442,30
3080,1443,30
3080,1444,30
3081,1445,30
3080,1446,30
3082,1447,30
3099,1448,30
3100,1449,30
3099,1450,30
3101,1451,30
3100,1452,30
3100,1453,30
3099,1454,30
3103,1455,30
3093,1456,30
3093,1457,30
3092,1458,30
3095,1459,30
3092,1460,30
3095,1461,30
3094,1462,30
3092,1463,30
3095,1464,30
3093,1465,30
3093,1466,30
3128,1467,30
3124,1468,30
3123,1469,30
3126,1470,30
3123,1471,30
3093,1472,30
3094,1473,30
3093,1474,30
3094,1475,30
3092,1476,30
3093,1477,30
3093,1478,30
3094,1479,30
3093,1480,30
3096,1481,30
3095,1482,30
3095,1483,30
3095,1484,30
3093,1485,30
3093,1486,30
3098,1487,30
3094,1488,30
3095,1489,30
3094,1490,30
3093,1491,30
3091,1492,30
3089,1493,30
3092,1494,30
3092,1495,30
3091,1496,30
3090,1497,30
3091,1498,30
3089,1499,30
3092,1500,30
3091,1501,30
3090,1502,25
3091,1503,24
3089,1504,22
3091,1505,20
3089,1506,19
3092,1507,18
3089,1508,17
3092,1509,16
3092,1510,10
3089,1511,10
3091,1512,10
3090,1513,10
3091,1514,10
3090,1515,10
3091,1516,10
3089,1517,10
3092,1518,10
3092,1519,10
3092,1520,10
3092,1521,10
3091,1522,10
3095,1523,10
3089,1524,10
3092,1525,10
3092,1526,10
3089,1527,10
3092,1528,10
3092,1529,10
3091,1530,10
3091,1531,10
3093,1532,10
3091,1533,10
3090,1534,10
3091,1535,10
3089,1536,10
3092,1537,10
3094,1538,10
3089,1539,10
3092,1540,10
3092,1541,10
3089,1542,10
3092,1543,10
3092,1544,10
3089,1545,10
3092,1546,10
3089,1547,10
3083,1548,10
3083,1549,10
3080,1550,10
3083,1551,10
3083,1552,10
3080,1553,10
3083,1554,10
3083,1555,10
3084,1556,10
3083,1557,10
3083,1558,10
3083,1559,10
3080,1560,10
3083,1561,10
3080,1562,10
3083,1563,10
3081,1564,10
3080,1565,10
3081,1566,10
3079,1567,10
3082,1568,10
3080,1569,10
3080,1570,12
3082,1571,20
3082,1572,36
3081,1573,68
3080,1574,68
3082,1575,67
3081,1576,66
3079,1577,65
3078,1578,64
3076,1579,63
3079,1580,62
3077,1581,61
3076,1582,60
3079,1583,60
3076,1584,60
3079,1585,60
3079,1586,60
3079,1587,60
3079,1588,60
3080,1589,60
3077,1590,60
3078,1591,60
3077,1592,60
3078,1593,60
3077,1594,60
3078,1595,60
3076,1596,60
3077,1597,60
3077,1598,60
3078,1599,60
3077,1600,60
3078,1601,60
